PERIMETER,AREA,LENGTH,HEIGHT,OUTPUT
1125,12639,193,110,SCISSORS
1134,12498,192,110,SCISSORS
1078,11613,183,111,SCISSORS
1001,10164,170,114,SCISSORS
982,10023,170,113,SCISSORS
1015,10452,175,118,SCISSORS
1058,11194,181,123,SCISSORS
1088,11907,188,119,SCISSORS
1119,12728,194,121,SCISSORS
1144,13133,196,132,SCISSORS
1142,13245,197,137,SCISSORS
1131,13505,197,139,SCISSORS
1138,13733,196,127,SCISSORS
1114,13917,196,142,SCISSORS
1120,14062,197,130,SCISSORS
1107,14173,195,143,SCISSORS
1093,14175,194,140,SCISSORS
1104,13859,191,128,SCISSORS
1145,13970,198,141,SCISSORS
1195,13802,201,130,SCISSORS
1163,13160,196,134,SCISSORS
1107,12202,188,128,SCISSORS
1096,11988,185,126,SCISSORS
1009,10718,169,128,SCISSORS
968,9849,162,130,SCISSORS
1069,11571,183,125,SCISSORS
1172,13656,199,129,SCISSORS
1292,16121,218,142,SCISSORS
1437,18048,234,149,SCISSORS
1424,17475,226,151,SCISSORS
1172,13627,187,149,SCISSORS
1297,14509,207,136,SCISSORS
1021,10838,168,126,SCISSORS
1053,11474,182,117,SCISSORS
1065,11299,181,116,SCISSORS
1035,11025,178,126,SCISSORS
1011,10558,172,137,SCISSORS
1030,10882,176,127,SCISSORS
1043,10963,177,124,SCISSORS
998,10249,171,110,SCISSORS
992,10046,170,110,SCISSORS
992,10075,171,110,SCISSORS
1019,10505,175,110,SCISSORS
1010,10616,173,111,SCISSORS
1008,10575,171,120,SCISSORS
961,9836,160,125,SCISSORS
983,10347,164,128,SCISSORS
1003,10733,166,132,SCISSORS
1031,11235,172,134,SCISSORS
1093,12069,183,135,SCISSORS
1128,12462,188,139,SCISSORS
1144,12748,192,139,SCISSORS
1123,12681,191,138,SCISSORS
1103,12451,187,139,SCISSORS
1028,11200,171,139,SCISSORS
1021,10929,169,141,SCISSORS
1018,10906,169,142,SCISSORS
1080,11761,184,140,SCISSORS
1116,12569,191,138,SCISSORS
1251,15394,215,137,SCISSORS
1262,15991,221,136,SCISSORS
1274,16141,222,136,SCISSORS
1263,16149,222,134,SCISSORS
1245,16002,220,132,SCISSORS
1212,15548,215,130,SCISSORS
1210,14919,213,133,SCISSORS
1273,15818,219,131,SCISSORS
1317,17078,228,130,SCISSORS
1420,18758,241,142,SCISSORS
1464,19188,242,145,SCISSORS
1462,19310,243,141,SCISSORS
1442,19210,241,137,SCISSORS
1485,19937,252,136,SCISSORS
1493,19574,249,142,SCISSORS
1453,18136,236,143,SCISSORS
1384,17427,230,144,SCISSORS
1375,16923,227,142,SCISSORS
1325,16488,225,136,SCISSORS
1261,15583,217,135,SCISSORS
1232,15042,213,134,SCISSORS
1225,14768,212,134,SCISSORS
1193,13958,205,131,SCISSORS
1145,13009,197,127,SCISSORS
1115,12396,192,125,SCISSORS
1073,11973,187,127,SCISSORS
1059,11686,185,125,SCISSORS
1038,10992,180,123,SCISSORS
1006,10670,177,120,SCISSORS
1024,10928,179,121,SCISSORS
1088,12314,192,124,SCISSORS
1187,13490,201,128,SCISSORS
1224,14422,209,131,SCISSORS
1269,15041,213,132,SCISSORS
1270,15544,216,131,SCISSORS
1306,16224,222,131,SCISSORS
1303,16580,224,131,SCISSORS
1320,16560,223,132,SCISSORS
1319,16651,224,131,SCISSORS
1330,16484,222,127,SCISSORS
1290,16516,223,123,SCISSORS
1374,17350,237,123,SCISSORS
1366,17224,235,122,SCISSORS
1361,17312,235,121,SCISSORS
1388,17618,240,120,SCISSORS
1370,17346,236,123,SCISSORS
1290,16073,221,125,SCISSORS
1293,16102,221,127,SCISSORS
1314,16074,220,133,SCISSORS
1324,15829,219,140,SCISSORS
1290,15408,215,140,SCISSORS
1253,14896,210,135,SCISSORS
1268,14645,209,133,SCISSORS
1248,14406,207,132,SCISSORS
1174,13750,200,133,SCISSORS
1131,12842,193,130,SCISSORS
1092,12362,191,121,SCISSORS
1036,11283,181,120,SCISSORS
1066,11058,179,129,SCISSORS
1055,11098,177,132,SCISSORS
1121,11913,186,134,SCISSORS
1023,11113,171,132,SCISSORS
